"","cpid","livelihood.strategies","livelihood.category","incomeid","variable","value"
"111","KHANDWA"," hen","OTHER LIVESTOCKS",502,"v1",1
"114","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v1",1
"116","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"v1",1
"117","KHANDWA","Charwaha(shepherd)","TRADE/BUSINESS/SERVICES",802,"v1",1
"120","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"v1",1
"122","KHANDWA","Doctor (private clinic)","TRADE/BUSINESS/SERVICES",807,"v1",1
"132","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"v1",1
"133","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"v1",1
"135","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"v1",1
"136","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v1",1
"137","KHANDWA","local skilled labor (Mason, Carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v1",1
"138","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v1",1
"139","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"v1",1
"141","KHANDWA","migration for unskilled labor(construction site,Labor in private Company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v1",1
"142","MAHBUBNAGAR","rice ","AGRICULTURE",101,"v1",1
"143","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"v1",1
"144","MAHBUBNAGAR","cotton","AGRICULTURE",103,"v1",1
"145","MAHBUBNAGAR","pulses(blackgram,greengram,redgram,bengalgram,horsegram)","AGRICULTURE",104,"v1",1
"146","MAHBUBNAGAR","ground nut","AGRICULTURE",105,"v1",1
"148","MAHBUBNAGAR","sun flower","AGRICULTURE",107,"v1",1
"149","MAHBUBNAGAR","sesame ","AGRICULTURE",108,"v1",1
"151","MAHBUBNAGAR","sajja(type of sorghum)","AGRICULTURE",110,"v1",1
"152","MAHBUBNAGAR","raagulu(type of sesame)","AGRICULTURE",111,"v1",1
"153","MAHBUBNAGAR","vegetable(tomato,brinjal,onion,okra,chilli,bittergourd,sorakaya(type of brinjal),keera,beera(type of bitter gourd),potato,fenugreek,spinach and coriander)","AGRICULTURE",112,"v1",1
"154","MAHBUBNAGAR","guava","TREE BASED LIVELIHOOD",201,"v1",1
"155","MAHBUBNAGAR","sapota (type of apple)","TREE BASED LIVELIHOOD",202,"v1",1
"157","MAHBUBNAGAR","custerd apple","TREE BASED LIVELIHOOD",204,"v1",1
"158","MAHBUBNAGAR","pomergranate","TREE BASED LIVELIHOOD",205,"v1",1
"159","MAHBUBNAGAR","mango orchard  (owner)","TREE BASED LIVELIHOOD",206,"v1",1
"160","MAHBUBNAGAR","lemon","TREE BASED LIVELIHOOD",207,"v1",1
"161","MAHBUBNAGAR","nalla neredu (type of strawberry)","TREE BASED LIVELIHOOD",208,"v1",1
"162","MAHBUBNAGAR","goat for meat","SHEEP/GOAT REARING",301,"v1",1
"163","MAHBUBNAGAR","sheep for meat","SHEEP/GOAT REARING",302,"v1",1
"164","MAHBUBNAGAR","cow for milk","DAIRY CATTLE",401,"v1",1
"165","MAHBUBNAGAR","bullocks","DAIRY CATTLE",402,"v1",1
"166","MAHBUBNAGAR","hen for meat","OTHER LIVESTOCKS",501,"v1",1
"167","MAHBUBNAGAR","bullocks for agriculture","OTHER LIVESTOCKS",502,"v1",1
"170","MAHBUBNAGAR","kallu(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v1",1
"172","MAHBUBNAGAR","consumer goods(stationary shop,cloth shop,selling fertilizer,grocery shop)","TRADE/BUSINESS/SERVICES",801,"v1",1
"173","MAHBUBNAGAR","perhisable goods(mutton shop,chicken shop,tea shop,jewellary)","TRADE/BUSINESS/SERVICES",802,"v1",1
"174","MAHBUBNAGAR","mechannical business(cycle repair shop,motor cycle repair shop)  ","TRADE/BUSINESS/SERVICES",803,"v1",1
"175","MAHBUBNAGAR","tailor shop","TRADE/BUSINESS/SERVICES",804,"v1",1
"176","MAHBUBNAGAR","private transport business(auto,tractor,lorry(owner))","TRADE/BUSINESS/SERVICES",805,"v1",1
"177","MAHBUBNAGAR","mobile shop(recharge & repair)","TRADE/BUSINESS/SERVICES",806,"v1",1
"178","MAHBUBNAGAR","pds dealer","TRADE/BUSINESS/SERVICES",807,"v1",1
"179","MAHBUBNAGAR","fire wood","NTFP COLLECTION",901,"v1",1
"180","MAHBUBNAGAR","govt.salaried job(teacher,police(s.i),conistable,village revenue officer,vatenary doctor,home guard,bank manager,sarpanch)","SALARIED JOB",1001,"v1",1
"181","MAHBUBNAGAR","private salaried job(watchman,teacher,mechanic worker,sales man)","SALARIED JOB",1002,"v1",1
"182","MAHBUBNAGAR","govt/private pension(retirement)","SALARIED JOB",1003,"v1",1
"185","MAHBUBNAGAR","social secretary pension(old age pension,widow pension,disabled penson)","PENSION / REMITTANCES",1101,"v1",1
"186","MAHBUBNAGAR","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v1",1
"187","MAHBUBNAGAR","local skilled labor(centering worker,mistri,carpenter,welder)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v1",1
"188","MAHBUBNAGAR","local unskilled labor(construction labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v1",1
"190","MAHBUBNAGAR","migratory skilled labor(mistri, dry cleanerwork in mumbai city)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"v1",1
"193","MALKANGIRI","Paddy","AGRICULTURE",102,"v1",1
"194","MALKANGIRI","Ragi(millet)","AGRICULTURE",103,"v1",1
"195","MALKANGIRI","sua(fox tail millet)","AGRICULTURE",104,"v1",1
"196","MALKANGIRI","Alsi","AGRICULTURE",105,"v1",1
"197","MALKANGIRI","Vegetable(Ash gourd, banglore baigano,beans,bitter gourd,bottle gourd,brinjal,butter beans,cabbage,cauliflower,chillies,dhonia,drumsticks,evy gourd,garlic,ginger,kidney beans,lady's finger,pumpkin,raddish,ridge gourd,snake gourd,kohlrabi,spinach,sweet root,tomato , tumeric)","AGRICULTURE",106,"v1",1
"198","MALKANGIRI","pulses (black gram,boroboti,dongor rani, green gram, horse gram, jhudungo, pigeon pea)","AGRICULTURE",107,"v1",1
"200","MALKANGIRI","Ground nut","AGRICULTURE",109,"v1",1
"203","MALKANGIRI","seasame","AGRICULTURE",112,"v1",1
"205","MALKANGIRI","Sweet corn","AGRICULTURE",114,"v1",1
"209","MALKANGIRI","mango","TREE BASED LIVELIHOOD",204,"v1",1
"210","MALKANGIRI","Tamarind","TREE BASED LIVELIHOOD",205,"v1",1
"212","MALKANGIRI","Goat for meat","SHEEP/GOAT REARING",301,"v1",1
"213","MALKANGIRI","Sheep for meat","SHEEP/GOAT REARING",302,"v1",1
"214","MALKANGIRI","Buffalo for agriculture","OTHER LIVESTOCKS",501,"v1",1
"215","MALKANGIRI","Bullocks for agriculture","OTHER LIVESTOCKS",502,"v1",1
"216","MALKANGIRI","Cow for agriculture","OTHER LIVESTOCKS",503,"v1",1
"219","MALKANGIRI","hen for meat","OTHER LIVESTOCKS",506,"v1",1
"221","MALKANGIRI","sale of wild fish(chigudi,kalipati,kapdu,moya)","FISHING/AQUACULTURE",601,"v1",1
"222","MALKANGIRI","sale of cultivated fish(american carp,grass carp,silver carp,telapia)","FISHING/AQUACULTURE",602,"v1",1
"223","MALKANGIRI","chauli, landa, pandam(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v1",1
"224","MALKANGIRI","stone business","HOME PRODUCTION(SMALL-SCALE PROCESSING)",702,"v1",1
"225","MALKANGIRI","bamboo product(Dala,dangla, dudi,jhudi, kolki, kula,takla, tiffin, changudi)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"v1",1
"228","MALKANGIRI","Solopo(local drink)","TRADE/BUSINESS/SERVICES",801,"v1",1
"231","MALKANGIRI","mechanical business(cycle repair shop, bike repair shop,garage owner)","TRADE/BUSINESS/SERVICES",804,"v1",1
"232","MALKANGIRI","tailor","TRADE/BUSINESS/SERVICES",805,"v1",1
"253","MALKANGIRI","govt salaried job(Anganwadi helper,anganbadi karmi,army personnel, asha didi,clerk in malkangiri  college, peon in panchayat office, police, post master, peon in tahesildaar office,teacher,watchman)","SALARIED JOB",1002,"v1",1
"255","MALKANGIRI","social security pension(disabled pension, old age pension, widow pension)","PENSION / REMITTANCES",1101,"v1",1
"256","MALKANGIRI","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v1",1
"257","MALKANGIRI","local skilled labor(carpenter, blacksmith,pottery,mistri,driver, painter,)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v1",1
"258","MALKANGIRI","local unskilled labor(construction labor,nrega labor,plumber)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v1",1
"261","MALKANGIRI","migratory unkilled labor(construction labor, labor in factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v1",1
"262","PALAMU","Maize","AGRICULTURE",101,"v1",1
"268","PALAMU","Pulses(Gram,Masuri,Tur,Kurthi,Khesari)","AGRICULTURE",107,"v1",1
"272","PALAMU","mustard","AGRICULTURE",111,"v1",1
"274","PALAMU","sesame","AGRICULTURE",113,"v1",1
"275","PALAMU","Tisi","AGRICULTURE",114,"v1",1
"280","PALAMU","Goat ","SHEEP/GOAT REARING",301,"v1",1
"282","PALAMU","Cow ","OTHER LIVESTOCKS",501,"v1",1
"283","PALAMU","Ox ","OTHER LIVESTOCKS",502,"v1",1
"284","PALAMU","Buffalo ","OTHER LIVESTOCKS",503,"v1",1
"287","PALAMU","Hen ","OTHER LIVESTOCKS",506,"v1",1
"288","PALAMU","Pig ","OTHER LIVESTOCKS",507,"v1",1
"291","PALAMU","Mahua liquor ","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v1",1
"296","PALAMU","Bullocks rented for agriculture","TRADE/BUSINESS/SERVICES",802,"v1",1
"297","PALAMU","Perishable goods(Chicken shop, Fish Trader )","TRADE/BUSINESS/SERVICES",803,"v1",1
"298","PALAMU","Private transport business(tractor,Commander,Balero, Cressor)","TRADE/BUSINESS/SERVICES",804,"v1",1
"301","PALAMU","Consumer goods(grocery store )","TRADE/BUSINESS/SERVICES",807,"v1",1
"304","PALAMU","Owner of Mill for processing of wheat, rice","TRADE/BUSINESS/SERVICES",810,"v1",1
"306","PALAMU","PDS dealer","TRADE/BUSINESS/SERVICES",812,"v1",1
"311","PALAMU","Seed of chakwar ","NTFP COLLECTION",901,"v1",1
"312","PALAMU","Seed of vantulsi ","NTFP COLLECTION",902,"v1",1
"315","PALAMU"," Fire Wood ","NTFP COLLECTION",905,"v1",1
"316","PALAMU","Tendu leaves","NTFP COLLECTION",906,"v1",1
"319","PALAMU","Govt  Salaried job(Block Development officer,Jharkhand police,Para teacher,College professor,govt teacher,Railway dept(Group D),Army Police, Border secruty force, Bihar Police force.Anganwari sewika)","SALARIED JOB",1001,"v1",1
"320","PALAMU","Private salaried Job(Driver ,Civil  engineer)","SALARIED JOB",1002,"v1",1
"322","PALAMU","Social secruty Pension(disabled pension,old age Pension,Widow Pension )","PENSION / REMITTANCES",1101,"v1",1
"325","PALAMU","local unskilled labor (stone works, soil related labor,NREGA )","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v1",1
"328","PALAMU","migratory unskilled labor(building construction, bridge construction, works in cressor) ","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v1",1
"329","BANKURA","Potato","AGRICULTURE",107,"v1",1
"338","BANKURA","Sheep ","SHEEP/GOAT REARING",301,"v1",1
"339","BANKURA","Goat ","SHEEP/GOAT REARING",302,"v1",1
"341","BANKURA","Bullock ","OTHER LIVESTOCKS",501,"v1",1
"344","BANKURA","Hen (Egg and meat)","OTHER LIVESTOCKS",504,"v1",1
"345","BANKURA"," pig","OTHER LIVESTOCKS",505,"v1",1
"357","BANKURA","sale of kerosene (from PDS)","TRADE/BUSINESS/SERVICES",805,"v1",1
"374","BANKURA","Bamboo collected from forest","NTFP COLLECTION",901,"v1",1
"375","BANKURA","Govt. salaried Job (indian oil corporation,income tax dept, high school teacher, primary teacher,doctor,Railway clerk, central reserve police force,PWD night guard,Supply Inspector,panchayat secretary,ITBM,WBP,BSF,Army,Vetenary compounder,High school teacher,Post office Peon,Health dept,BLRO Peon,Block office,clerk,Kolkata Police,Central Industrial Security Force,School clerk,Railway police force,Supervisor in ICDS,Aganwari teacher,Nursery teacher,BDO,ADO,Post master,Bank Peon,Kangsabati Corporation's employee, Damodar valley corporation)","SALARIED JOB",1001,"v1",1
"378","BANKURA","Social security pension (oldage,widow)","PENSION / REMITTANCES",1101,"v1",1
"379","BANKURA","local agriculture labour (Harvesting & Sowing)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v1",1
"381","BANKURA","local unskilled labor(NREGA,Roof maker,Helper)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v1",1
"382","BANKURA","migratory agriculture labor(sowing and harvesting of paddy)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"v1",1
"383","BANKURA","migratory skilled labor(rajmistri, Circus,woodcutter,Electrical work, Spring Factory,Cressor,Ceramics artist)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"v1",1
"384","BANKURA","migratory unskilled labor(labor for soil works,road/bridge/building construction,stone chipping, labor in hotel, worker in wholesale shop,labor in mill,helper with truck/bus,power plant,R.N factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v1",1
"387","KACHCHH"," Sesame ","AGRICULTURE",103,"v2",1
"388","KACHCHH","Pulses (Mug, Math)","AGRICULTURE",104,"v2",1
"389","KACHCHH"," Sovin","AGRICULTURE",105,"v2",1
"391","KACHCHH"," Castor","AGRICULTURE",107,"v2",1
"392","KACHCHH"," Groundnut","AGRICULTURE",108,"v2",1
"393","KACHCHH"," Bajra(Millet)","AGRICULTURE",109,"v2",1
"402","KACHCHH","Sheep","SHEEP/GOAT REARING",301,"v2",1
"403","KACHCHH","Goat","SHEEP/GOAT REARING",302,"v2",1
"404","KACHCHH","milk from cow","DAIRY CATTLE",401,"v2",1
"405","KACHCHH","milk from buffalo","DAIRY CATTLE",402,"v2",1
"408","KACHCHH","charcoal production","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v2",1
"415","KACHCHH","consumer goods (Ration Shop)","TRADE/BUSINESS/SERVICES",807,"v2",1
"418","KACHCHH","construction contractor(private contractor)","TRADE/BUSINESS/SERVICES",810,"v2",1
"420","KACHCHH","Private salaried job (salt factory,cement factory,shop, NGO, Pvt commpany, driver ","SALARIED JOB",1001,"v2",1
"421","KACHCHH","Govt salaried job ( police,pwd,teacher,postman,aganvadiworker,aganvadi helper,elec tric board,state transport,b s f,Railway Police,Coast guard,Indian Army)","SALARIED JOB",1002,"v2",1
"423","KACHCHH","social security pension (Window pension)","PENSION / REMITTANCES",1101,"v2",1
"425","KACHCHH","local skilled labor(Mason, carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v2",1
"426","KACHCHH","local unskilled labor  (factory, indian air force,company)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v2",1
"429","KACHCHH","migratory unskilled labor (factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v2",1
"430","DEVAS"," paddy ","AGRICULTURE",101,"v2",1
"431","DEVAS","Wheat","AGRICULTURE",102,"v2",1
"432","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"v2",1
"433","DEVAS","Tilli","AGRICULTURE",104,"v2",1
"434","DEVAS","groundnut","AGRICULTURE",105,"v2",1
"435","DEVAS","chillies","AGRICULTURE",106,"v2",1
"437","DEVAS","maize","AGRICULTURE",108,"v2",1
"438","DEVAS","cotton","AGRICULTURE",109,"v2",1
"439","DEVAS","Soyabean","AGRICULTURE",110,"v2",1
"440","DEVAS","onion","AGRICULTURE",111,"v2",1
"442","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"v2",1
"443","DEVAS"," goat ","SHEEP/GOAT REARING",301,"v2",1
"444","DEVAS","goat (for meat)","SHEEP/GOAT REARING",302,"v2",1
"445","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"v2",1
"450","DEVAS","bamboo products (tokani and tat)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v2",1
"451","DEVAS","Jhadu banana(broom making)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",702,"v2",1
"452","DEVAS","Mahua (liquor)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"v2",1
"456","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"v2",1
"464","DEVAS","Charoli","NTFP COLLECTION",901,"v2",1
"467","DEVAS","Mahua fruit","NTFP COLLECTION",904,"v2",1
"469","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"v2",1
"472","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v2",1
"473","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v2",1
"474","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"v2",1
"478","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"v2",1
"479","KHANDWA"," Jowar","AGRICULTURE",101,"v2",1
"480","KHANDWA","Maize","AGRICULTURE",102,"v2",1
"481","KHANDWA"," Paddy ","AGRICULTURE",103,"v2",1
"482","KHANDWA"," Wheat ","AGRICULTURE",104,"v2",1
"483","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"v2",1
"484","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"v2",1
"485","KHANDWA"," Cotton","AGRICULTURE",107,"v2",1
"486","KHANDWA"," Mugfali","AGRICULTURE",108,"v2",1
"487","KHANDWA"," Soyabean ","AGRICULTURE",109,"v2",1
"488","KHANDWA","Sugarcane","AGRICULTURE",110,"v2",1
"491","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"v2",1
"492","KHANDWA"," goat","SHEEP/GOAT REARING",301,"v2",1
"493","KHANDWA","Dairy (cow milk,buffalo milk)","DAIRY CATTLE",401,"v2",1
"494","KHANDWA"," bullocks","OTHER LIVESTOCKS",501,"v2",1
"495","KHANDWA"," hen","OTHER LIVESTOCKS",502,"v2",1
"498","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"v2",1
"500","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"v2",1
"501","KHANDWA","Charwaha(shepherd)","TRADE/BUSINESS/SERVICES",802,"v2",1
"516","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"v2",1
"517","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"v2",1
"519","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"v2",1
"520","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"v2",1
"521","KHANDWA","local skilled labor (Mason, Carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"v2",1
